idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,10.5,-3.0,0.0,9.55277461894043e-19,2.6940144912556157e-19,0.019030436778708193,-1.1463329542728515e-17,-3.2328173895067388e-18,-0.5155652413444983,0,70,255.0,255.0,255.0
1,0.05,10.5,-3.0,0.00030909572403349495,4.394276324712598e-19,1.2392466659775831e-19,-0.006625999081794231,-9.170663634182812e-18,-2.586253911605391e-18,-0.5106921930755987,0,70,255.0,255.0,255.0
2,0.1,10.5,-3.0,-0.000658539034622007,3.821109847576167e-20,1.077605796502247e-20,-0.03203878252885167,-6.8779977256371086e-18,-1.939690433704043e-18,-0.505819144806699,0,70,255.0,255.0,255.0
3,0.15000000000000002,10.5,-3.0,-0.002890721655294257,-2.483721400924512e-19,-7.004437677264601e-20,-0.05720791356246414,-4.585331817091405e-18,-1.2931269558026954e-18,-0.5009460965377992,0,70,255.0,255.0,255.0
4,0.2,10.5,-3.0,-0.006375269517311004,-4.2032208323337898e-19,-1.1853663761524704e-19,-0.08213339218263159,-2.292665908545702e-18,-6.465634779013477e-19,-0.49607304826889953,0,70,255.0,255.0,255.0
5,0.25,10.5,-3.0,-0.0111,-4.776387309470215e-19,-1.3470072456278078e-19,-0.1068152183893541,0.0,0.0,-0.4912000000000001,0,70,255.0,255.0,255.0
6,0.30000000000000004,10.5,-3.0,-0.017052730482689002,-4.2032208323337883e-19,-1.1853663761524707e-19,-0.13125339218263163,2.292665908545705e-18,6.465634779013484e-19,-0.48632695173110047,0,70,255.0,255.0,255.0
7,0.35000000000000003,10.5,-3.0,-0.02422127834470575,-2.48372140092451e-19,-7.004437677264597e-20,-0.15544791356246415,4.5853318170914075e-18,1.293126955802696e-18,-0.48145390346220085,0,70,255.0,255.0,255.0
8,0.4,10.5,-3.0,-0.032593460965378,3.821109847576181e-20,1.0776057965022493e-20,-0.1793987825288517,6.87799772563711e-18,1.9396904337040434e-18,-0.4765808551933012,0,70,255.0,255.0,255.0
9,0.45,10.5,-3.0,-0.042157095724033505,4.394276324712599e-19,1.2392466659775839e-19,-0.20310599908179428,9.170663634182813e-18,2.586253911605391e-18,-0.47170780692440156,0,70,255.0,255.0,255.0
