Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,1.5,-3,0,255,255,255
250,1.5,-3,0.0111,255,255,255
500,1.5,-3,0.0529,255,255,255
750,1.5,-3,0.1238,255,255,255
1000,1.5,-3,0.2219,255,255,255
1250,1.5,-3,0.3452,255,255,255
1500,1.5,-3,0.4916,255,255,255
1750,1.5,-3,0.6593,255,255,255
2000,1.5,-3,0.8462,255,255,255
2250,1.5,-3,1.0504,255,255,255
2500,1.5,-3,1.2699,255,255,255
2750,1.5,-3,1.5027,255,255,255
3000,1.5,-3,1.7469,255,255,255
3250,1.5,-3,2.0004,255,255,255
3500,1.5,-3,2.2613,255,255,255
3750,1.5,-3,2.5277,255,255,255
4000,1.5,-3,2.7975,255,255,255
4250,1.5,-3,3.0687,255,255,255
4500,1.5,-3,3.3394,255,255,255
4750,1.5,-3,3.6077,255,255,255
5000,1.5,-3,3.8715,255,255,255
5250,1.5,-3,4.1289,255,255,255
5500,1.5,-3,4.3778,255,255,255
5750,1.5,-3,4.6164,255,255,255
6000,1.5,-3,4.8425,255,255,255
6250,1.5,-3,5.0544,255,255,255
6500,1.5,-3,5.2499,255,255,255
6750,1.5,-3,5.4272,255,255,255
7000,1.5,-3.0001,5.5789,255,255,255
7250,1.5002,-3.0005,5.6977,255,255,255
7500,1.5004,-3.001,5.7887,255,255,255
7750,1.5005,-3.0015,5.8574,255,255,255
8000,1.5005,-3.0016,5.9091,255,255,255
8250,1.5003,-3.0014,5.9493,255,255,255
8500,1.4999,-3.0006,5.9834,255,255,255
8750,1.4991,-2.9989,6.0169,255,255,255
9000,1.498,-2.9964,6.0551,255,255,255
9250,1.4963,-2.9927,6.1035,255,255,255
9500,1.4941,-2.9879,6.1664,255,255,255
9750,1.4914,-2.9822,6.2438,255,255,255
10000,1.4881,-2.9754,6.3356,255,255,255
10250,1.4842,-2.9678,6.4414,255,255,255
10500,1.4799,-2.9592,6.5611,255,255,255
10750,1.4751,-2.9497,6.6943,255,255,255
11000,1.4698,-2.9393,6.8408,255,255,255
11250,1.4641,-2.9279,7.0003,255,255,255
11500,1.458,-2.9157,7.1727,255,255,255
11750,1.4514,-2.9025,7.3575,255,255,255
12000,1.4445,-2.8885,7.5546,255,255,255
12250,1.4373,-2.8736,7.7637,255,255,255
12500,1.4296,-2.8578,7.9846,255,255,255
12750,1.4215,-2.8412,8.217,255,255,255
13000,1.413,-2.8238,8.4608,255,255,255
13250,1.404,-2.8057,8.7156,255,255,255
13500,1.3946,-2.7867,8.9813,255,255,255
13750,1.3848,-2.7671,9.2575,255,255,255
14000,1.3746,-2.7467,9.544,255,255,255
14250,1.3641,-2.7255,9.8406,255,255,255
14500,1.3531,-2.7037,10.1471,255,255,255
14750,1.3418,-2.6812,10.4631,255,255,255
15000,1.3302,-2.658,10.7884,255,255,255
15250,1.3182,-2.6342,11.1229,255,255,255
15500,1.3058,-2.6098,11.4661,255,255,255
15750,1.2932,-2.5847,11.818,255,255,255
16000,1.2802,-2.559,12.1782,255,255,255
16250,1.267,-2.5328,12.5465,255,255,255
16500,1.2534,-2.506,12.9226,255,255,255
16750,1.2396,-2.4786,13.3063,255,255,255
17000,1.2255,-2.4508,13.6974,255,255,255
17250,1.2112,-2.4224,14.0955,255,255,255
17500,1.1966,-2.3935,14.5006,255,255,255
17750,1.1818,-2.3641,14.9122,255,255,255
18000,1.1667,-2.3343,15.3302,255,255,255
18250,1.1515,-2.304,15.7542,255,255,255
18500,1.136,-2.2733,16.1842,255,255,255
18750,1.1204,-2.2421,16.6197,255,255,255
19000,1.1046,-2.2106,17.0607,255,255,255
19250,1.0886,-2.1787,17.5067,255,255,255
19500,1.0724,-2.1464,17.9576,255,255,255
19750,1.0561,-2.1138,18.4131,255,255,255
20000,1.0397,-2.0809,18.873,255,255,255
20250,1.0231,-2.0476,19.337,255,255,255
20500,1.0065,-2.0141,19.8049,255,255,255
20750,0.9897,-1.9802,20.2765,255,255,255
21000,0.9728,-1.9461,20.7514,255,255,255
21250,0.9559,-1.9118,21.2294,255,255,255
21500,0.9388,-1.8772,21.7103,255,255,255
21750,0.9217,-1.8425,22.1939,255,255,255
22000,0.9044,-1.8076,22.6799,255,255,255
22250,0.8871,-1.7726,23.1681,255,255,255
22500,0.8697,-1.7374,23.6582,255,255,255
22750,0.8522,-1.7021,24.1499,255,255,255
23000,0.8346,-1.6668,24.6431,255,255,255
23250,0.817,-1.6313,25.1375,255,255,255
23500,0.7994,-1.5959,25.6328,255,255,255
23750,0.7817,-1.5603,26.1288,255,255,255
24000,0.764,-1.5248,26.6252,255,255,255
24250,0.7462,-1.4892,27.1218,255,255,255
24500,0.7285,-1.4537,27.6184,255,255,255
24750,0.7108,-1.4182,28.1146,255,255,255
25000,0.6931,-1.3828,28.6103,255,255,255
